Date,Open,High,Low,Close,Volume,Change %,SMA,close_diff,EMA12,EMA26,MACD,signal_line,MA15,MA30,MA45,TRIX,RSI,ATR,W%,ROC,SO %K,SO %D,ADX,VAR,CCI,upper_band,lower_band,VolatilityIndex,Daily_Return,Daily_Return1,Daily_Return2,Daily_Return3,label_1d,label_3d,label_7d,label_10d
2013-01-02,22860.25,23317.390625,22860.25,23311.980469,2129252800.0,,,,23311.980469,23311.980469,0.0,0.0,23311.980469,23311.980469,23311.980469,0.0,,,,,,,,12039013.35925173,,,,,,,,,2,2,2,2
2013-01-03,23390.539063,23400.740234,23234.429688,23398.599609,2211207000.0,0.37156491322214436,,86.61914000000252,23325.30649053846,23318.396701592592,6.909788945868058,1.3819577891736117,23322.807861499998,23317.568800612902,23315.746518565218,0.00022470054231049102,,,,,,,,12039013.35925173,,,,,0.3715649132221419,,,,2,2,2,2
2013-01-04,23370.359375,23370.359375,23172.279297,23331.089844,1505752800.0,-0.28852053596419847,,-67.50976500000252,23326.19623722485,23319.336934363513,6.859302861335891,2.477426803606068,23323.843109312496,23318.44112599272,23316.41361967108,0.00023168157024031587,,,,,,,,12039013.35925173,,,,,-0.2885205359641936,,,,2,2,2,2
2013-01-07,23345.199219,23402.449219,23254.230469,23329.75,1401515000.0,-0.005742740733316598,,-1.3398439999982656,23326.742969959487,23320.108272558806,6.634697400681034,3.308880923021061,23324.581470648434,23319.170730767382,23316.99346229408,0.00023205135301005705,,,,,,,,12039013.35925173,,,,,-0.005742740733317394,0.0762248879868077,,,2,2,2,2
2013-01-08,23264.029297,23264.029297,23088.400391,23111.189453,1461679100.0,-0.9368319291891303,,-218.56054700000095,23293.58089042726,23304.63280444334,-11.051914016079536,0.43672193520094194,23297.90746844238,23305.75258381465,23308.045461889986,-0.0003365840085174895,,,,,,,,12039013.35925173,,,,,-0.9368319291891296,-1.2283220397918717,,,0,0,2,2
2013-01-09,23154.710938,23235.390625,23141.669922,23218.470703,1518554800.0,0.4641961428171859,,107.28125,23282.02547697691,23298.250426558647,-16.224949581737746,-2.8956123681867956,23287.977872762083,23300.121494729836,23304.15090715564,-0.0005210926592491211,,,,,,,,12039013.35925173,,,,,0.46419614281719335,-0.4826998728006751,,,2,2,2,2
2013-01-10,23240.070313,23477.890625,23165.640625,23354.310547,1911808400.0,0.5850507802068527,,135.8398440000019,23293.146256980464,23302.403028072822,-9.256771092357667,-4.16784411302097,23296.269457041824,23303.617562618238,23306.331761061916,-0.0003152836598975116,,,,,,,,12039013.35925173,,,,,0.5850507802068565,0.1052756544755128,,,1,2,2,2
2013-01-11,23478.810547,23486.599609,23212.900391,23264.070313,1526867400.0,-0.3863964805057907,,-90.24023400000078,23288.673034829622,23299.563567697056,-10.890532867433649,-5.5123818639035065,23292.2445640366,23301.066127158996,23304.494306798355,-0.0003785348442349199,,,,,,,,12039013.35925173,,,,,-0.3863964805057912,0.6615014788005906,-0.20551731357062722,,2,1,2,2
2013-01-14,23326.820313,23441.939453,23292.070313,23413.259766,1559383600.0,0.6412869759795825,,149.18945299999905,23307.840224240448,23307.98550831209,-0.14528407164107193,-4.43896230545102,23307.371464282023,23308.304426439063,23309.22323980712,-4.0025450331021114e-05,,,,,,,,12039013.35925173,,,,,0.641286975979572,0.8389401071743798,0.0626539931661533,,1,1,2,2
2013-01-15,23388.470703,23515.859375,23306.169922,23381.509766,1450147700.0,-0.13560691811955738,,-31.75,23319.173999895764,23313.431749622305,5.742250273458922,-2.4027197896690318,23316.638751996772,23313.027351572026,23312.36613225029,0.00015491350831825385,,,,,,,,12039013.35925173,,,,,-0.1356069181195621,0.11646337812139852,0.2161061585083533,,2,2,2,2
2013-01-16,23390.189453,23390.189453,23203.240234,23356.990234,1370170300.0,-0.10486718884018531,,-24.519531999998435,23324.991882065646,23316.658304020653,8.333578044992464,-0.25546022273673263,23321.682687247176,23315.86366656738,23314.30631058723,0.0002495901272924809,,,,,,,,12039013.35925173,,,,,-0.10486718884018893,0.3994138590102043,0.11676179127509204,0.19307568080651055,2,2,2,2
2013-01-17,23471.669922,23504.730469,23222.960938,23339.759766,1316299000.0,-0.07377006980513467,,-17.230468000001565,23327.26386420939,23318.36952342653,8.894340782862855,1.574499978383185,23323.94232209128,23317.405350401747,23315.4129825617,0.0002803712588930827,,,,,,,,12039013.35925173,,,,,-0.07377006980514014,-0.3139246765917422,0.9890028095041646,-0.2514673697710076,2,2,1,2
2013-01-18,23509.490234,23606.5,23450.769531,23601.779297,1934485200.0,1.1226316535686731,,262.01953100000173,23369.49700771564,23339.362839987527,30.134167728112516,7.286433528329051,23358.67194395487,23335.752056633894,23327.863691885104,0.0009825111987836342,,,,,,,,12039013.35925173,,,,,1.1226316535686736,0.9420671855856998,1.6508778674664202,1.16020920929939,1,1,1,1
