Date,Open,High,Low,Close,Volume,Change %,SMA,close_diff,EMA12,EMA26,MACD,signal_line,MA15,MA30,MA45,TRIX,RSI,ATR,W%,ROC,SO %K,SO %D,ADX,VAR,CCI,upper_band,lower_band,VolatilityIndex,Daily_Return,Daily_Return1,Daily_Return2,Daily_Return3,label_1d,label_3d,label_7d,label_10d
2017-03-03,305.0,305.633331,295.5,296.899994,2516490,,,,296.899994,296.899994,0.0,0.0,296.899994,296.899994,296.899994,0.0,,,,,,,,147822.0520155806,,,,,,,,,2,2,2,2
2017-03-06,296.666656,318.25,296.666656,315.733337,3721275,6.3433288584034075,,18.833343000000013,299.7974313846154,298.2950564444444,1.5023749401709665,0.3004749880341933,299.254161875,298.11504838709675,297.718835,0.003826138470222327,,,,,,,,147822.0520155806,,,,,6.343328858403417,,,,1,2,2,2
2017-03-07,318.0,321.600006,312.033325,312.899994,1410528,-0.8973848079906754,,-2.8333430000000135,301.8132102485207,299.37690367078187,2.436306577738833,0.7276413059751212,300.959890890625,299.06891584599373,298.3788853913044,0.006337496174206065,,,,,,,,147822.0520155806,,,,,-0.8973848079906791,,,,0,2,2,2
2017-03-08,313.299988,314.5,306.983337,307.950012,579231,-1.5819693496063048,,-4.949981999999977,302.75733359490215,300.01194873220544,2.74538486269671,1.131190017319439,301.8336560292969,299.6418897914135,298.7950213308129,0.00733535059627631,,,,,,,,147822.0520155806,,,,,-1.5819693496063083,3.7217979869679696,,,0,1,2,2
2017-03-09,307.950012,320.333344,305.783325,314.983337,2215683,2.283917754807563,,7.033324999999991,304.63825719568644,301.12094045574577,3.517316739940668,1.6084153618436847,303.4773661506348,300.6316605790643,299.4988611425167,0.00950155723702851,,,,,,,,147822.0520155806,,,,,2.283917754807553,-0.2375422269711101,,,1,2,2,2
2017-03-10,316.666656,318.299988,310.866669,312.200012,581853,-0.8836419813534446,,-2.7833249999999907,305.80160408865777,301.9416124219868,3.8599916666709646,2.058730622809141,304.56769688180543,301.3780058320279,300.0510850928421,0.010630493300134474,,,,,,,,147822.0520155806,,,,,-0.8836419813534424,-0.2237078981855069,,,0,2,2,2
2017-03-14,318.333344,320.0,313.333344,314.983337,681813,0.8915198247974487,,2.7833249999999907,307.21417838271043,302.9076660944322,4.306512288278213,2.5082869559029555,305.8696518965798,302.2557691331874,300.7003134366315,0.012018220806257852,,,,,,,,147822.0520155806,,,,,0.8915198247974413,2.283917754807553,,,1,1,2,2
2017-03-15,315.450012,320.549988,313.366669,315.116669,872238,0.04232985822991697,,0.1333319999999958,308.4299461699858,303.81203668002985,4.6179094899559345,2.930211462713552,307.0255290345073,303.08550460846567,301.32711150460403,0.013075572278803878,,,,,,,,147822.0520155806,,,,,0.04232985822992782,0.04232985822992782,6.135626597553926,,2,2,1,2
2017-03-16,316.649994,317.433319,314.333344,315.083344,382401,-0.010575448168370638,,-0.03332499999999072,309.4535458361418,304.64694833336097,4.806597502780846,3.305488670727011,308.03275590519394,303.85955876275824,301.92520856962125,0.013821956643522183,,,,,,,,147822.0520155806,,,,,-0.01057544816837053,0.9235528152381992,-0.2058677129808421,,2,1,2,2
2017-03-17,315.399994,319.533325,313.799988,314.633331,943929,-0.14282348101524178,,-0.45001300000001265,310.25043586135075,305.38668038274164,4.863755478609107,3.6171420323034305,308.8578277920447,304.55464084258034,302.47773563181164,0.014226458487848434,,,,,,,,147822.0520155806,,,,,-0.1428234810152366,-0.11111889388612567,0.5539587833932671,,2,2,1,2
2017-03-20,316.666656,316.666656,311.666656,312.783325,348168,-0.5879879268099519,,-1.8500060000000076,310.64011111345064,305.93457998402005,4.705531129430597,3.834819851728864,309.3485149430391,305.0855236914461,302.92580473477636,0.01407272402998294,,,,,,,,147822.0520155806,,,,,-0.5879879268099564,-0.7404698733979099,1.5695121973237576,5.3497242576569395,0,0,1,1
2017-03-21,313.799988,315.666656,312.0,312.933319,633309,0.04795460243924854,,0.1499939999999924,310.9929123267659,306.4530050963149,4.5399072304510355,3.9758373274732985,309.79661545015927,305.59183306619155,303.36091405065565,0.013860659660544106,,,,,,,,147822.0520155806,,,,,0.04795460243924206,-0.6823670755506606,-0.6508337931539606,-0.8868300150389323,2,0,0,0
2017-03-22,313.333344,313.333344,310.333344,311.466675,380574,-0.4686762038273007,,-1.4666439999999739,311.06579889187884,306.82438805214343,4.2414108397354084,4.028952029925721,310.0053728938894,305.9708551264373,303.7133384397576,0.013283966348591388,,,,,,,,147822.0520155806,,,,,-0.46867620382729963,-1.0064591662731337,-0.23489332857553058,-0.4580757518327032,2,0,2,2
2017-03-23,312.733337,314.066681,310.916656,312.533325,392298,0.34246039323468924,,1.0666499999999814,311.2915721392821,307.2472722705032,4.044299868778921,4.032021597696361,310.3213669071532,306.3942402795704,304.09681611628986,0.012914066900592104,,7.815475499999999,,,65.26176660649038,,,147822.0520155806,,,,,0.3424603932346796,-0.07992753450012081,-0.7778227328895227,1.4883301904206372,2,2,0,1
2017-03-24,313.200012,317.766663,312.0,315.016663,911808,0.7945834256234852,,2.4833380000000034,311.864663040931,307.82278269491036,4.041880346020662,4.033993347361221,310.90827891875904,306.9505256163723,304.57159206775555,0.012994492610152137,,7.503570642857142,,,73.59623556401363,,,147822.0520155806,,,,,0.7945834256234926,0.6657469414434617,-0.031736182131325966,0.010580242217698073,1,1,2,2
2017-03-27,315.216675,316.0,311.383331,311.916656,394650,-0.9840771502299894,,-3.100007000000005,311.8726619577108,308.1260325693615,3.7466293883493336,3.976520555558844,311.0343260539141,307.27092112499344,304.8909426735053,0.012343446138217239,,6.291665285714283,,,38.77761080216508,59.2118709908897,,147822.0520155806,,,,,-0.9840771502299881,0.1444716356894296,-1.0050318622999068,-0.09076104712001937,0,2,0,2
2017-03-28,312.966675,314.649994,312.066681,313.083344,276681,0.3740383777389722,,1.166688000000022,312.0589207334476,308.49324082348284,3.5656799099647856,3.8943524264400327,311.2904532971749,307.6459161491874,305.2471340355268,0.011939627736400962,,5.803569357142854,,,49.435806857649716,53.936551074609476,,147822.0520155806,,,,,0.37403837773896303,0.17598731271297877,-0.4926328037381352,-0.6032042895018268,2,2,2,0
2017-03-29,313.216675,324.0,312.333344,317.116669,1497897,1.2882592055104558,,4.033324999999991,312.83703585137874,309.1320132810026,3.7050225703761157,3.8564864552272495,312.01873026002806,308.2569324621431,305.76320077311266,0.012302977560325746,,6.099997428571426,,,62.214119755663454,50.14251247182608,,147822.0520155806,,,,,1.2882592055104634,0.6666333075847507,1.3854140082435695,0.6346855614927815,1,1,1,1
2017-03-30,319.350006,323.683319,318.350006,322.233337,873000,1.6134970186635123,,5.116668000000004,314.2826206434743,310.10248170463205,4.180138938842219,3.921216951950244,313.2955561025246,309.1586359807145,306.47929365254254,0.013498204307727654,,5.529756785714279,,,87.07318747175611,66.24103802835643,,147822.0520155806,,,,,1.6134970186635016,3.3075120553998296,2.9718848826065796,2.2692386430937446,1,1,1,1
