Date,Open,High,Low,Close,Adj Close,Volume,Change %,SMA,close_diff,EMA12,EMA26,MACD,signal_line,MA15,MA30,MA45,TRIX,RSI,ATR,W%,ROC,SO %K,SO %D,ADX,VAR,CCI,upper_band,lower_band,VolatilityIndex,Daily_Return,Daily_Return1,Daily_Return2,Daily_Return3,label_1d,label_3d,label_7d,label_10d
2013-01-02,5982.600098,6006.049805,5982.0,5993.25,5993.25,0.0,,,,5993.25,5993.25,0.0,0.0,5993.25,5993.25,5993.25,0.0,,,,,,,,17292322.6687669,,,,,,,,,2,2,2,2
2013-01-03,6015.799805,6017.0,5986.549805,6009.5,6009.5,0.0,0.27113836399281777,,16.25,5995.75,5994.4537037037035,1.296296296296532,0.25925925925930643,5995.28125,5994.298387096775,5993.95652173913,0.00016397564774797878,,,,,,,,17292322.6687669,,,,,0.27113836399282526,,,,2,2,2,2
2013-01-04,6011.950195,6020.75,5981.549805,6016.149902,6016.149902,0.0,0.11065649388468657,,6.649902000000111,5998.8884464615385,5996.060829503429,2.827616958109502,0.7729307990293455,5997.8898315,5995.708162251822,5994.921451315689,0.0003639195719068451,,,,,,,,17292322.6687669,,,,,0.11065649388468445,,,,2,2,2,2
2013-01-07,6042.149902,6042.149902,5977.149902,5988.399902,5988.399902,0.0,-0.4612584535298003,,-27.75,5997.274824236687,5995.493353392064,1.7814708446230725,0.9746388081480909,5996.7035903125,5995.236661590414,5994.637905693267,0.00024470681051355685,,,,,,,,17292322.6687669,,,,,-0.4612584535298037,-0.08092600842614422,,,2,2,2,2
2013-01-08,5983.450195,6007.049805,5964.399902,6001.700195,6001.700195,0.0,0.22210094879533404,,13.300293000000238,5997.955650507965,5995.953119437097,2.0025310708688266,1.180217260692238,5997.328165898437,5995.653663745871,5994.944961750081,0.000279319020149425,,,,,,,,17292322.6687669,,,,,0.22210094879532377,-0.1297912471919403,,,2,2,2,2
2013-01-09,6006.200195,6020.100098,5958.450195,5971.5,5971.5,0.0,-0.5031939953475173,,-30.20019500000035,5993.885550429817,5994.141777256571,-0.25622682675384567,0.8929284432030213,5994.099645161133,5994.0953628590405,5993.925615587034,7.144403128798794e-07,,,,,,,,17292322.6687669,,,,,-0.5031939953475191,-0.7421673782622464,,,0,0,2,2
2013-01-10,5998.799805,6005.149902,5947.299805,5968.649902,5968.649902,0.0,-0.04772834296240536,,-2.850097999999889,5990.003142979076,5992.253490200529,-2.250347221453012,0.2642733102718147,5990.91842726599,5992.453720222974,5992.826671518033,-0.0002561884468109666,,,,,,,,17292322.6687669,,,,,-0.047728342962402893,-0.32980429368793346,,,2,2,2,2
2013-01-11,6012.399902,6018.850098,5940.600098,5951.299805,5951.299805,0.0,-0.2906871283267387,,-17.35009700000046,5984.048783289987,5989.219883889379,-5.171100599392048,-0.8228014716609577,5985.966099482742,5989.798628918266,5991.021155582467,-0.0006397122186679892,,,,,,,,17292322.6687669,,,,,-0.290687128326738,-0.8397685382883524,-0.6999573687064673,,2,0,0,2
2013-01-14,5967.200195,6036.899902,5962.149902,6024.049805,6024.049805,0.0,1.2224220318875378,,72.75,5990.2027866299895,5991.799878045722,-1.5970914157323932,-0.9776594604752449,5990.726562672399,5992.008382213862,5992.457183818013,-0.00021390549855313998,,,,,,,,17292322.6687669,,,,,1.2224220318875367,0.8800101314577518,0.24211340377734672,,1,1,2,2
2013-01-15,6037.850098,6068.5,6018.600098,6056.600098,6056.600098,0.0,0.5403390419014054,,32.55029300000024,6000.417757609991,5996.599894338631,3.8178632713597835,-0.018554914108239173,5998.96075458835,5996.175589683936,5995.246006173751,0.0004645622384045739,,,,,,,,17292322.6687669,,,,,0.5403390419014014,1.4735358488781367,0.6723601748445891,,1,1,1,2
2013-01-16,6049.0,6055.950195,5992.049805,6001.850098,6001.850098,0.0,-0.9039725112126806,,-54.75,6000.638117669992,5996.988798313547,3.6493193564456305,0.7150199400025348,5999.321922514807,5996.54168699465,5995.53314060098,0.00046371781373855955,,,,,,,,17292322.6687669,,,,,-0.9039725112126761,0.8493992011212456,0.22460417173388328,0.1434964001167962,0,1,2,2
2013-01-17,6001.25,6053.200195,5988.100098,6039.200195,6039.200195,0.0,0.6223097276695899,,37.35009700000046,6006.570744951532,6000.115568438469,6.4551765130627246,1.8630512546145728,6004.306706575456,5999.293848801447,5997.431708183546,0.0008358340733031976,,,,,,,,17292322.6687669,,,,,0.622309727669584,0.25149841867883926,0.6248229465250721,0.4942207338380955,1,2,1,2
2013-01-18,6059.850098,6083.399902,6048.299805,6064.399902,6064.399902,0.0,0.41726894599161124,,25.199706999999762,6015.467538343604,6004.877370924508,10.59016741909636,3.6084744875109305,6011.818356003523,6003.494239330386,6000.343368784263,0.001387273387793368,,,,,,,,17292322.6687669,,,,,0.41726894599161013,0.12878188874606167,1.55572137653856,0.8020079417229921,2,2,1,1
2013-01-21,6085.75,6094.350098,6065.100098,6082.299805,6082.299805,130900.0,0.295163631839257,,17.89990299999954,6025.7494255215115,6010.612366041211,15.137059480300195,5.914191486068784,6020.628537128083,6008.578469373588,6003.90669209799,0.0020070378126220275,,52.74288500000005,,,92.16241105691041,,,17292322.6687669,,,,,0.2951636318392569,1.3404151334404046,1.90411407715365,1.5680299334825474,2,1,1,1
