Date,Open,High,Low,Close,Adj Close,Volume
2017-03-03,305.000000,305.633331,295.500000,296.899994,242.056320,2516490
2017-03-06,296.666656,318.250000,296.666656,315.733337,257.410736,3721275
2017-03-07,318.000000,321.600006,312.033325,312.899994,255.100723,1410528
2017-03-08,313.299988,314.500000,306.983337,307.950012,251.065170,579231
2017-03-09,307.950012,320.333344,305.783325,314.983337,256.799286,2215683
2017-03-10,316.666656,318.299988,310.866669,312.200012,254.530090,581853
2017-03-14,318.333344,320.000000,313.333344,314.983337,256.799286,681813
2017-03-15,315.450012,320.549988,313.366669,315.116669,256.907990,872238
2017-03-16,316.649994,317.433319,314.333344,315.083344,256.880798,382401
2017-03-17,315.399994,319.533325,313.799988,314.633331,256.513947,943929
2017-03-20,316.666656,316.666656,311.666656,312.783325,255.005630,348168
2017-03-21,313.799988,315.666656,312.000000,312.933319,255.127945,633309
2017-03-22,313.333344,313.333344,310.333344,311.466675,253.932205,380574
2017-03-23,312.733337,314.066681,310.916656,312.533325,254.801834,392298
2017-03-24,313.200012,317.766663,312.000000,315.016663,256.826447,911808
2017-03-27,315.216675,316.000000,311.383331,311.916656,254.299103,394650
2017-03-28,312.966675,314.649994,312.066681,313.083344,255.250275,276681
2017-03-29,313.216675,324.000000,312.333344,317.116669,258.538544,1497897
2017-03-30,319.350006,323.683319,318.350006,322.233337,262.710052,873000
2017-03-31,322.600006,327.000000,321.683319,325.883331,265.685791,830304
2017-04-03,328.000000,329.233337,325.033325,325.816681,265.631500,388749
2017-04-05,328.600006,330.333344,326.000000,326.466675,266.161407,464571
2017-04-06,326.666656,326.966675,322.700012,323.600006,263.824219,214923
2017-04-07,323.333344,334.799988,322.000000,330.649994,269.571960,775590
2017-04-10,331.666656,344.983337,331.666656,343.366669,279.939606,1598616
2017-04-11,345.000000,350.333344,339.350006,347.883331,283.621918,1029114
2017-04-12,348.666656,351.600006,341.700012,349.233337,284.722565,840570
2017-04-13,346.666656,350.000000,342.000000,343.200012,279.803741,423201
2017-04-17,341.666656,342.983337,336.000000,337.149994,274.871307,438114
2017-04-18,339.666656,339.666656,332.116669,332.583344,271.148163,304371
2017-04-19,334.666656,338.000000,329.333344,333.433319,271.841125,389067
2017-04-20,335.233337,339.200012,333.366669,336.966675,274.721832,266802
2017-04-21,337.066681,339.216675,334.350006,336.799988,274.585907,270933
2017-04-24,337.000000,338.350006,335.216675,336.583344,274.409332,573987
2017-04-25,337.333344,338.100006,333.350006,335.066681,273.172791,273552
2017-04-26,336.666656,339.000000,334.500000,336.516663,274.354919,381597
2017-04-27,336.666656,337.333344,335.149994,335.933319,273.879364,174531
2017-04-28,337.000000,338.333344,332.283325,334.816681,272.968933,180780
2017-05-02,335.266663,340.666656,334.000000,334.750000,272.914612,319686
2017-05-03,335.366669,336.500000,332.666656,334.250000,272.506989,256962
2017-05-04,334.666656,336.666656,332.666656,333.716675,272.072144,209205
2017-05-05,335.333344,336.750000,330.000000,331.700012,270.428040,924774
2017-05-08,334.000000,337.983337,334.000000,335.433319,273.471710,570552
2017-05-09,336.333344,336.333344,330.416656,331.566681,270.319305,162804
2017-05-10,335.333344,336.299988,331.666656,332.366669,270.971527,159759
2017-05-11,334.333344,334.583344,332.333344,333.316681,271.746094,540183
2017-05-12,333.500000,334.933319,326.000000,327.266663,266.813599,359130
2017-05-15,328.399994,333.899994,328.399994,332.666656,271.216125,193620
2017-05-16,334.066681,363.133331,334.016663,352.983337,287.779816,3478038
2017-05-17,353.266663,361.500000,352.500000,357.133331,291.163269,948864
2017-05-18,353.866669,362.666656,350.333344,360.200012,293.663513,925086
2017-05-19,361.666656,366.633331,353.666656,357.766663,291.679596,550878
2017-05-22,359.666656,361.000000,355.333344,355.683319,289.981110,242208
2017-05-23,355.000000,358.000000,343.700012,351.683319,286.719971,552240
2017-05-24,352.566681,354.899994,348.583344,351.916656,286.910187,932703
2017-05-25,351.916656,353.666656,345.666656,347.549988,283.350159,385638
2017-05-26,345.833344,353.666656,345.833344,351.416656,286.502563,604314
2017-05-29,350.333344,360.666656,350.000000,355.883331,290.144196,360378
2017-05-30,354.833344,358.316681,351.333344,354.983337,289.410461,179373
2017-05-31,355.000000,366.666656,354.983337,364.466675,297.142029,940320
2017-06-01,365.083344,368.416656,360.416656,363.366669,296.245178,346197
2017-06-02,363.333344,371.333344,361.666656,369.049988,300.878693,632751
2017-06-05,369.833344,378.333344,369.333344,377.183319,307.509552,573195
2017-06-06,376.666656,378.283325,367.216675,368.116669,300.117767,205374
2017-06-07,369.000000,371.666656,365.000000,367.149994,299.329651,161073
2017-06-08,368.283325,369.666656,362.116669,364.000000,296.761475,172536
2017-06-09,364.000000,377.333344,360.666656,372.899994,304.017487,876051
2017-06-12,372.649994,378.100006,367.000000,370.133331,301.761902,311877
2017-06-13,370.000000,374.966675,365.000000,366.133331,298.500763,203253
2017-06-14,369.466675,371.666656,363.500000,364.766663,297.386597,177078
2017-06-15,363.700012,368.133331,360.366669,361.049988,294.356476,208044
2017-06-16,362.666656,363.833344,357.000000,358.466675,292.250305,221349
2017-06-19,360.033325,372.633331,360.033325,370.000000,301.653198,524730
2017-06-20,371.566681,373.066681,366.333344,367.116669,299.302429,206199
2017-06-21,368.416656,370.966675,367.000000,368.049988,300.063385,155475
2017-06-22,371.899994,372.666656,363.066681,363.683319,296.503357,318300
2017-06-23,365.100006,365.616669,353.683319,355.000000,289.424011,227583
2017-06-27,353.333344,355.000000,348.333344,349.433319,284.885651,156330
2017-06-28,349.333344,360.166656,346.666656,358.016663,291.883453,221547
2017-06-29,361.350006,368.083344,360.166656,366.233337,298.582306,308382
2017-06-30,368.000000,370.000000,357.000000,357.850006,291.747559,849042
2017-07-03,358.299988,359.933319,354.683319,357.649994,291.584534,172182
2017-07-04,358.333344,359.450012,354.383331,355.500000,289.831665,101838
2017-07-05,356.000000,356.649994,351.500000,354.533325,289.043579,171312
2017-07-06,354.533325,358.333344,352.566681,353.516663,288.214661,160602
2017-07-07,353.000000,376.000000,350.683319,355.633331,289.940369,1990083
2017-07-10,362.333344,368.666656,360.000000,361.700012,294.886414,290181
2017-07-11,365.666656,374.899994,362.700012,365.683319,298.133942,1155336
2017-07-12,370.350006,372.333344,362.216675,366.983337,299.193756,697272
2017-07-13,368.366669,377.350006,365.033325,370.633331,302.169525,2095554
2017-07-14,373.316681,392.783325,369.366669,373.566681,304.561096,3839385
2017-07-17,374.333344,376.316681,366.666656,367.350006,299.492676,463710
2017-07-18,367.633331,367.633331,360.666656,361.866669,295.022247,309123
2017-07-19,364.100006,373.333344,361.666656,366.183319,298.541504,593646
2017-07-20,363.733337,368.683319,361.833344,363.066681,296.000580,174504
2017-07-21,365.166656,366.299988,358.333344,361.350006,294.601074,271416
2017-07-24,362.566681,365.850006,360.766663,361.899994,295.049377,147561
2017-07-25,362.783325,364.316681,360.000000,361.466675,294.696106,139062
2017-07-26,361.666656,367.666656,360.016663,365.483337,297.970886,200724
2017-07-27,366.633331,366.633331,360.666656,361.933319,295.076569,201255
2017-07-28,360.750000,369.000000,358.700012,361.316681,294.573853,279711
2017-07-31,361.666656,364.666656,360.316681,361.233337,294.505890,130875
2017-08-01,361.283325,365.333344,360.016663,361.166656,294.451569,110643
2017-08-02,361.333344,362.966675,351.683319,355.733337,290.021820,258096
2017-08-03,356.666656,366.666656,354.000000,356.533325,290.674133,907485
2017-08-04,359.666656,363.000000,355.333344,357.133331,291.163269,248760
2017-08-07,358.833344,365.000000,355.666656,361.783325,294.954285,393819
2017-08-08,358.666656,362.666656,355.000000,355.483337,289.818085,141855
2017-08-09,355.333344,355.333344,348.333344,349.733337,285.130219,156759
2017-08-10,349.733337,349.733337,335.000000,337.566681,275.210968,313254
2017-08-11,331.666656,338.333344,330.333344,332.366669,270.971527,485646
2017-08-14,334.000000,339.299988,331.933319,332.516663,271.093781,200181
2017-08-16,334.666656,338.666656,333.083344,337.483337,275.143036,232515
2017-08-17,338.299988,342.666656,335.666656,337.216675,274.925690,222816
2017-08-18,337.333344,337.333344,330.083344,332.966675,271.460693,205047
2017-08-21,335.000000,344.466675,333.700012,335.633331,273.634766,235680
2017-08-22,336.000000,339.266663,334.333344,334.866669,273.009735,121911
2017-08-23,335.333344,336.316681,333.666656,334.933319,273.064087,134739
2017-08-24,330.333344,335.000000,330.299988,332.700012,277.597565,136479
2017-08-28,333.666656,334.633331,328.000000,328.350006,273.968018,183054
2017-08-29,328.633331,331.666656,326.266663,326.566681,272.480072,133794
2017-08-30,328.700012,330.333344,325.783325,326.683319,272.577362,150072
2017-08-31,327.183319,328.250000,323.666656,324.433319,270.700012,267186
2017-09-01,325.233337,329.566681,324.000000,325.633331,271.701263,211845
2017-09-04,326.000000,328.000000,323.016663,324.649994,270.880768,415503
2017-09-05,326.299988,328.916656,324.049988,324.966675,271.144989,214578
2017-09-06,323.333344,327.933319,323.000000,323.500000,269.921265,265704
2017-09-07,325.566681,334.666656,325.000000,333.600006,278.348511,606105
2017-09-08,335.000000,336.000000,328.450012,331.733337,276.790955,237954
2017-09-11,334.666656,343.216675,333.000000,340.883331,284.425537,451338
2017-09-12,341.316681,344.600006,338.333344,341.216675,284.703705,221190
2017-09-13,340.000000,345.000000,338.666656,339.833344,283.549469,258432
2017-09-14,340.033325,343.966675,336.666656,343.450012,286.567139,206691
2017-09-15,341.666656,341.666656,338.333344,339.566681,283.326935,117861
2017-09-18,341.666656,343.333344,338.399994,339.350006,283.146149,128328
2017-09-19,339.350006,343.333344,337.350006,339.583344,283.340820,116703
2017-09-20,339.583344,346.333344,338.333344,339.183319,283.007111,234309
